Date,Service,Cost
2024-11-07,AWS Data Transfer,-7.02e-08
2024-11-07,AWS Glue,0.0
2024-11-07,AWS Key Management Service,0.0
2024-11-07,AWS Secrets Manager,0.0
2024-11-07,Amazon Relational Database Service,-1.4e-09
2024-11-07,Amazon Simple Notification Service,0.0
2024-11-07,Amazon Simple Queue Service,0.0
2024-11-07,Amazon Simple Storage Service,7.02e-08
2024-11-07,AmazonCloudWatch,0.0
2024-11-08,AWS Data Transfer,-7.04e-08
2024-11-08,AWS Glue,0.0
2024-11-08,AWS Key Management Service,0.0
2024-11-08,AWS Secrets Manager,0.0
2024-11-08,Amazon Relational Database Service,-1.4e-09
2024-11-08,Amazon Simple Notification Service,0.0
2024-11-08,Amazon Simple Queue Service,0.0
2024-11-08,Amazon Simple Storage Service,7.04e-08
2024-11-08,AmazonCloudWatch,0.0
2024-11-09,AWS Data Transfer,-6.98e-08
2024-11-09,AWS Glue,0.0
2024-11-09,AWS Key Management Service,0.0
2024-11-09,AWS Secrets Manager,0.0
2024-11-09,Amazon Relational Database Service,-1.4e-09
2024-11-09,Amazon Simple Notification Service,0.0
2024-11-09,Amazon Simple Queue Service,0.0
2024-11-09,Amazon Simple Storage Service,6.98e-08
2024-11-09,AmazonCloudWatch,0.0
2024-11-10,AWS Data Transfer,-7e-08
2024-11-10,AWS Glue,0.0
2024-11-10,AWS Key Management Service,0.0
2024-11-10,AWS Secrets Manager,0.0
2024-11-10,Amazon Relational Database Service,-1.4e-09
2024-11-10,Amazon Simple Notification Service,0.0
2024-11-10,Amazon Simple Queue Service,0.0
2024-11-10,Amazon Simple Storage Service,7e-08
2024-11-10,AmazonCloudWatch,0.0
2024-11-11,AWS Data Transfer,-7.02e-08
2024-11-11,AWS Glue,0.0
2024-11-11,AWS Key Management Service,0.0
2024-11-11,AWS Secrets Manager,0.0
2024-11-11,Amazon Relational Database Service,-1.4e-09
2024-11-11,Amazon Simple Notification Service,0.0
2024-11-11,Amazon Simple Queue Service,0.0
2024-11-11,Amazon Simple Storage Service,7.02e-08
2024-11-11,AmazonCloudWatch,0.0
2024-11-12,AWS Data Transfer,-3.48e-08
2024-11-12,AWS Glue,0.0
2024-11-12,Amazon Relational Database Service,-1.4e-09
2024-11-12,Amazon Simple Storage Service,3.48e-08
2024-11-12,AmazonCloudWatch,0.0
2024-11-13,AWS Data Transfer,-7.06e-08
2024-11-13,AWS Glue,0.0
2024-11-13,AWS Key Management Service,0.0
2024-11-13,AWS Secrets Manager,0.0
2024-11-13,Amazon Relational Database Service,-1.4e-09
2024-11-13,Amazon Simple Notification Service,0.0
2024-11-13,Amazon Simple Queue Service,0.0
2024-11-13,Amazon Simple Storage Service,7.07e-08
2024-11-13,AmazonCloudWatch,0.0
2024-11-14,AWS Data Transfer,-7.02e-08
2024-11-14,AWS Glue,0.0
2024-11-14,AWS Key Management Service,0.0
